Advisor,Author,Date,Abstract,URL,Discipline,Keywords,Title,Type
"Ciardo, Gianfranco,Bonakdarpour, Borzoo,Miner, Andrew,Basu, Samik,Lutz, Jack,Sabzikar, Farzad","Zaman, Eshita",N/A,"Model checking is an automated verification technique that has proved useful in verifying various systems such as sequential circuit designs, communication protocols, software systems, cyber-physical systems, and biological systems. A model checker comprises three vital components: a finite state model that requires to be verified, a system specification expressed using temporal logic, and a verification algorithm that exhaustively explores the entire state space of the model to determine whether the property holds or not. However, due to the exhaustive search, the model checker faces a problem known as state space explosion. Using efficient algorithms, and data structures makes it possible to mitigate this issue.   

This dissertation includes three works that propose efficient algorithms for model-checking properties in stochastic and partially specified systems. In the first work, we extended the probabilistic reward computation tree logic (PRCTL) to express more general performance measures in a discrete-time Markov reward model. We proposed new operators to compute expected rewards conditioned on satisfying a PRCTL path formula, and operators to compute expected rewards at a given time $t$, also conditioned on satisfying the PRCTL formula. The second work explores the difficulty of various methods to verify HyperPCTL formulas. The logic HyperPCTL was proposed to express probabilistic hyperproperties in a system and the syntax is defined based on the self-composition of the DTMCs. Based on the observation that these DTMCs evolve independently, we proposed algorithms to numerically solve each participating DTMC separately and later combine the results. We also found the class of HyperPCTL formulas where we need to store the history of a path. We conclude that model-checking this class of HyperPCTL formulas can be as complex as when model-checking HyperPCTL with self-composition. Finally, the third work explores model-checking CTL formulas (with 3-valued semantics) in partially specified systems. Due to being in the early development stage, and having incomplete knowledge about the system or its properties, evaluation of some properties in states of the system might be \emph{unknown}. We provide a formalism to concretize the labeling of a model that explores the design space based on minimizing cost given it satisfies the formula $\varphi$.",https://dr.lib.iastate.edu/handle/20.500.12876/9z0KEMxr,"Computer science,Statistics","expected rewards,HyperPCTL model checking,partially specified systems,probabilistic model checking",Efficient stochastic model checking,dissertation
"Jannesari, Ali,Wongpiromsarn, Tichakorn,Rajan, Hridesh","KUMAR, CHANDAN",N/A,"Recent developments in the edge devices have increased the utility of edge devices in volume
estimation of uneven terrains. Existing techniques utilize several geo-tagged images of the
landscape, captured in-flight by an edge device mounted over a UAV, to generate 3D models and
perform volume estimation through manual boundary marking. These methods, although
accurate, require significant time, human effort and are heavily dependent on GPS. We present an
efficient deep learning framework that detects the object of interest and automatically determines
the volume (independent of GPS) of the detected object on-the-fly. Our method employs a stereo
camera for depth sensing of the object and overlays a unit mesh grid over the object’s boundary to
perform volume estimation. We explore the accuracy vs computational complexity trade-off on
variations of our technique. Experiments indicate that our method reduces the time for volume
estimation by several orders of magnitude in contrast to existing methods and is independent of
GPS as well. With this work, we try to complete the volume estimation work for dynamic
environments as well.",https://dr.lib.iastate.edu/handle/20.500.12876/0zEyJ8Oz,Artificial intelligence,"Depth Detection,Edge AI,UAVs",Efficient volume analysis for dynamic environments using Deep Learning,thesis
"Judy M. Vance,Leslie Miller","Pavlik, Ryan",2018-08-11T17:26:09.000,"<p>This research focuses on the exploration of software and methods to support natural interaction within a virtual environment. Natural interaction refers to the ability of the technology to support human interactions with computer generated simulations that most accurately reflect interactions with real objects. Over the years since the invention of computer-aided design tools, computers have become ubiquitous in the product design process. Increasingly, engineers and designers are using immersive virtual reality to evaluate virtual products throughout the entire design process.</p>
<p>The goal of this research is to develop tools that support verisimilitude, or likeness to reality, particularly with respect to human interaction with virtual objects. Increasing the verisimilitude of the interactions and experiences in a virtual environment has the potential to increase the external validity of such data, resulting in more reliable decisions and better products.</p>
<p>First, interface software is presented that extends the potential reach of virtual reality to include low-cost, consumer-grade motion sensing devices, thus enabling virtual reality on a broader scale. Second, a software platform, VR JuggLua, is developed to enable rapid and iterative creation of natural interactions in virtual environments, including by end-user programmers. Based on this software platform, the focus of the rest of the research is on supporting virtual assembly and decision making. The SPARTA software incorporates a powerful physically-based modeling simulation engine tuned for haptic interaction. The workspace of a haptic device is both virtually expanded, though an extension to the bubble technique, and physically expanded, through integration of a haptic device with a multi-directional mobile platform. Finally, a class of hybrid methods for haptic collision detection and response is characterized in terms of five independent tasks. One such novel hybrid method, which selectively restores degrees of freedom in haptic assembly, is developed and assessed with respect to low-clearance CAD assembly. It successfully maintains the high 1000 Hz update rate required for stable haptics unlike previous related approaches.</p>
<p>Overall, this work forms a pattern of contributions towards enabling natural interaction for virtual reality and advances the ability to use an immersive environment in decision making during product design.</p>",https://dr.lib.iastate.edu/handle/20.500.12876/28420,Computer Sciences,"Human Computer Interaction,Computer Science,Haptics,Human-Computer Interaction,Virtual Reality",Enabling natural interaction for virtual reality,dissertation
"Bao, Forrest,Cai, Ying,Li, Qi,Zhang, Wensheng,Zhang, Zhu","Luo, Ge",N/A,"Automatic summarization plays a pivotal role in condensing vast amounts of information into concise representations, thereby facilitating efficient information retrieval and comprehension. Nonetheless, evaluating the effectiveness of automatic summarization systems remains a significant challenge. This work presents advancements in automatic summarization evaluation across three main areas.

In the first part, we introduce a comprehensive framework for summarization metric design, taking into account various linguistic and structural aspects of summaries. We propose evaluating the overall quality of a summary by training a metric from synthesized summaries. By learning a preference rank of gold summaries and inferior summaries synthesized by corrupting the gold summary, our method eliminates the need for a reference summary during inference time.

In the second part, we delve into a specific aspect of summarization evaluation: the assessment of factual consistency in machine-generated summaries. Initially, we systematically analyze the shortcomings of current methods in synthesizing inconsistent summaries. Subsequently, employing the parameter-efficient finetuning (PEFT) technique, we discover that a competitive factual consistency detector can be achieved using thousands of real model-generated summaries with human annotations.

In the third part, we extend our investigation to incorporate explanations into the consistency metric, aiming to provide insights into the underlying processes driving the evaluation outcomes. We collect human-written natural language explanations on the inconsistent summary and article pairs. Leveraging the collected data, we train a text-generation model to output the consistency judgment and explanation together. We demonstrate the efficacy of the trained metric in enhancing the interpretability of the consistency assessment, empowering users to understand and interpret the evaluation results effectively.",https://dr.lib.iastate.edu/handle/20.500.12876/7wbODGyv,Computer science,"consistency,hallucination,LLM,NLG evaluation,summarization","Enhancing automatic summarization evaluation: Metric design, consistency, and explanation",dissertation
"Syrkin Wurtele, Eve,Eulenstein, Oliver,Aduri, Pavan","Vajjhala, Kumara Sri Harsha",N/A,"Exploratory analysis is an important preliminary step in bioinformatics, and in scientific research in general. It facilitates discovering interesting patterns, plotting visualizations, finding anomalies, and developing testable hypotheses. MetaOmGraph, an open-source software, provides several features for interactive exploratory data analysis of high dimensional datasets, especially biological omics data. The first part of this thesis elucidates the implementation of multiple features to improve MetaOmGraph. In particular, it elaborates on large project handling, enhanced reproducibility, new visualizations, and improved user interface in the new version of MetaOmGraph. In the new version of MetaOmGraph (v2), I have used an efficient JSON-based project structure, which is loaded into memory using a stream-based parser. This substantially improved project load time and performance on larger projects. I have also built a logging and playback framework in the software and applied it to all the major statistical analyses and visualizations. This feature allows for reproducible experiments and easy sharing of results across different platforms in the MetaOmGraph v1 version. Moreover, I developed an effective window management system by providing a taskbar, added new visualizations: Heatmap and Violin Plot, re-designed the metadata upload component, and improved other user interface components.

In the second part of my thesis, I consider the research question of classifying breast tissues in the human cancer RNA-seq dataset into tumor and non-tumor classes and identifying the biologically important annotated and novel genes. I utilized a random forest machine learning model to classify the tissues and compare the feature importance obtained from the model to the up-regulated and down-regulated genes obtained through differential expression analysis. My results suggest a batch effect due to technical variation in the data generation, which results in an almost perfect classification. I also identify the genes that might be interesting biologically due to their strong differential expression level, greater than the confounding effect, and high feature importance.",https://dr.lib.iastate.edu/handle/20.500.12876/9z0KmJ4r,"Computer science,Artificial intelligence,Bioinformatics","Computational Methods,Exploratory Analysis,Machine Learning,RNA-seq,Software Engineering","Enhancing MetaOmGraph software, and using interpretable machine learning to study novel genes in human breast cancer",thesis
"Le, Wei,Li, Yang,Stevens, Clay","Alam, Mirza Sanjida",N/A,"The increasing complexity of software systems necessitates robust vulnerability detection
mechanisms. This thesis explores Chain of Thought (CoT) reasoning, detecting line-level
vulnerability using the LineVul model, and the generation of augmented data using the NatGen
tool to evaluate the robustness of large language models (LLMs) for detecting vulnerabilities in
code. CoT prompts are designed to elicit step-by-step reasoning in LLMs, aiding in vulnerability
detection tasks that require complex code understanding. We explore the potential of LLMs in
understanding, reasoning, and predicting code vulnerabilities through the usage of the CoT
prompting technique and augmented dataset. Despite the demonstrated effectiveness of these
models, our analysis reveals significant challenges in their robustness, particularly in
distinguishing buggy from fixed code and accurately identifying vulnerability types. We introduce
the LineVul model, a state-of-the-art transformer-based approach that improves line-level
vulnerability detection using our cleaned datasets generated by the ActiveClean method.
ActiveClean employs active learning to create high-quality line-level vulnerability data,
significantly enhancing the detection capabilities of LineVul model. Our evaluations show that the
integration of these models and techniques results in improved performance in identifying critical
security vulnerabilities in software systems and advancing the field of software security.
Our replication package is located at https://figshare.com/s/24819ff5706133596bee.",https://dr.lib.iastate.edu/handle/20.500.12876/8zn7D9Ww,Computer science,AI,Evaluating AI for vulnerability detection,thesis
"Jannesari, Ali,Prabhu, Gurpur,Cohen, Myra","Bhattacharjee , Arijit",N/A,"OpenMP target offload has been in the inception phase for some time but has been gaining traction in the recent years with more compilers supporting the constructs and optimising it at the general level. Its ease of programming compared to other models makes it quite desirable in the industry. This work investigates  how different compilers are interacting with the different constructs at runtime and how the callbacks affect the performance of each compiler. We also dive into the programs in the Polybench benchmark test suite with the main focus on linear algebra to generate an OpenMP GPU target offload implementation with parallelization techniques obtained from DiscoPoP for the C Language. The main focus is on the DOALL and reduction loops which come under loop level parallelism. The problem encountered are issues with the device data mapping. We also analyze the compiler used and see its behaviour in code generation for OpenMP target offload. While converting these benchmarks, we faced a myriad of issues related to the data mapping of multi-dimensional data structures onto the target from the host while using the GCC compiler. The main work done to counter this issue was to suggest a code transformation algorithmic approach which efficiently resolves the issues without loosing the correctness of the said programs.",https://dr.lib.iastate.edu/handle/20.500.12876/6wBl2par,Computer science,"array,compiler,multi-dimensional,offload,OpenMP,target",Evaluation of GPU-specific device directives and multi-dimensional data structures in OpenMP,thesis
"Jannesari, Ali,Aduri, Pavan,Lutz, Robyn R","Dutta, Akash",N/A,"Stagnation of Moore's law has led to the increased adoption of parallel programming for enhancing performance of scientific applications. Frequently occurring code and design patterns in scientific applications are often used for transforming serial code to parallel. But, identifying these patterns is not easy. To this end, we propose using Graph Neural Networks for modeling code flow graphs to identify patterns in such parallel code. Additionally, identifying the runtime parameters for best performing parallel code is also challenging. We propose a pattern-guided deep learning based tuning approach, to help identify the best runtime parameters for OpenMP loops. Overall, we aim to identify commonly occurring patterns in parallel loops and use these patterns to guide auto-tuning efforts. We validate our hypothesis on 20 different applications from Polybench, and STREAM benchmark suites. This deep learning-based approach can identify the considered patterns with an overall accuracy of 91%. We validate the usefulness of using patterns for auto-tuning on tuning the number of threads, scheduling policies and chunk size on a single socket system, and the thread count and affinity on a multi-socket machine. Our approach achieves geometric mean speedups of 1.1x and 4.7x respectively over default OpenMP configurations, compared to brute-force speedups of 1.27x and 4.93x respectively.",https://dr.lib.iastate.edu/handle/20.500.12876/1wge035r,Computer science,"Autotuning,Code Patterns,Graph Neural Networks,OpenMP,Performance Counters",Evaluation of Graph Neural Networks for code pattern detection and autotuning of OpenMP loops,thesis
"Wongpiromsarn, Tichakorn,Liu, Jia,Rajan, Haridesh,Brabanter, Kris","Ullah, Hamad",N/A,"Semantic understanding of the perceived world is the key element in autonomous systems' decision-making. The perceived world relies on object classification of each class probability in a given scenario. The widely used approach is the maximum of all class probabilities output of the probability distribution is associated with the object or image in a classification task. A more sophisticated system may also utilize the probability distribution over the classes instead of basing its decision only on the most likely class. The current best approach relies intensively on the accuracy of the model. However, when presented with new data, the model fails to obtain 100\% accurate results. Inaccurate classification leads to unsafe behavior in an autonomous system. Let us take an example of an autonomous system. Suppose there is a pedestrian on the crosswalk. The system will only stop if it correctly classifies the object on the crosswalk. Autonomous vehicles need multiple of sensors and actuators. Running wires to connect all sensors and actuators increases the level of complexity. 

This thesis presents a new task-based neural network for object classification and compares its performance with a typical probabilistic classification model to improve threshold-based probabilistic decision-making. Furthermore, it introduces a configurable cross layer network emulator known as EMANE with wireless communication optimization for the distributed system based on HeavyBall optimization.",https://dr.lib.iastate.edu/handle/20.500.12876/Yr3Kjdar,Computer science,"Autonomous vehicle,Machine Learning,Networking,Object classification",Evaluation of object classifier and cross layer network emulator: Application to autonomous vehicle,thesis
Yong Guan,"Myneedu, Sai Giri Teja",2018-08-11T10:19:43.000,"<p>Abstract</p>
<p>Peer to Peer(P2P) file sharing networks are amongst the best free sources of information on the internet. Voluntary participation and lack of control makes them a very attractive option to share data anonymously. However a small group of people take advantage of the freedom provided by these networks and share content that is prohibited by law. Apart from copyrighted content, there are cases where people share les related to Child Pornography which is a criminal offense. Law enforcement attempts to track down these offenders by obtaining a court order for search and seizure of computers at a suspect location. These seized computers are forensically examined using storage and memory-forensics tools. However before the search warrant is issued strong evidence must be presented to provide a reason for suspiscion. Deficient investigation in the intial stages might lead to mis-identification of the source and steer the investigation in a wrong direction.</p>
<p>Initial evidence collection on peer to peer le sharing networks is a challenge due to the lack of a central point of control and highly dynamic nature of the networks. The goal of this work is to create a working prototype of an initial evidence collection tool for forensics in P2P networks. The prototype is based on the idea that P2P networks could be monitored by introducing modified peer nodes onto the network for a certain time period and recording relevant information about nodes that possess criminally offensive content. Logging information sent by a suspicious node along with timestamps and unique identication information would provide a strong, verfiiable initial evidence. This work presents one such working prototype in alignment with the goals stated above.</p>",https://dr.lib.iastate.edu/handle/20.500.12876/24530,Computer Sciences,"Digitial Forensics,Evidence Collection,P2P Networks",Evidence Collection for Forensic Investigation in Peer to Peer Systems,thesis
Robyn R. Lutz,"Krishnan, Sandeep",2018-07-21T18:40:54.000,"<p>The systematic reuse provided by software product lines provides</p>
<p>opportunities to achieve increased quality and reliability as a product line</p>
<p>matures. This has led to a widely accepted assumption that as a product line evolves, its reliability improves. However, evidence in terms of empirical investigation of the relationship among change, reuse and reliability in evolving software product lines is lacking.</p>
<p>To address the problem this work investigates: 1) whether reliability as measured by post-deployment failures improves as the products and components in a software product line change over time, and 2)</p>
<p>whether the stabilizing effect of shared artifacts enables accurate prediction of failure-prone files in the product line.</p>
<p>The first part of this work performs defect assessment and investigates defect trends in Eclipse, an open-source software product line. It analyzes the evolution of the product line over time in terms of the total number of defects, the percentage of severe defects and the relationship between defects and changes.</p>
<p>The second part of this work explores prediction of failure-prone files in the Eclipse product line to determine whether prediction improves as the</p>
<p>product line evolves over time. In addition, this part investigates the effect</p>
<p>of defect and data collection periods on the prediction performance.</p>
<p>The main contributions of this work include findings that the majority of files with severe defects are reused files rather than new files, but that</p>
<p>common components experience less change than variation components. The work also found that there is a consistent set of metrics which serve as prominent predictors across multiple products and reuse categories over time. Classification of post-release, failure-prone files using change data for the Eclipse product line gives better recall and false positive rates as compared to classification using static code metrics. The work also found that on-going change in product lines hinders the ability to predict failure-prone files, and that predicting post-release defects using pre-release change data for the Eclipse case study is difficult. For example, using more data from the past to predict future failure-prone files does not necessarily give better results than</p>
<p>using data only from the recent past. The empirical investigation of product line change and defect data leads to an improved understanding of the interplay among change, reuse and reliability as a product line evolves.</p>",https://dr.lib.iastate.edu/handle/20.500.12876/27182,Computer Sciences,,Evidence-based defect assessment and prediction for software product lines,dissertation
"Eulenstein, Oliver,Friedberg, Iddo,Fernandez-Baca, David,Lavrov, Dennis,Huang, Xiaoqiu","Nguyen , Huy",N/A,"A complex system is a group or organization in which many components interact to perform functions that a single component cannot. The study of the evolution of complex systems can reveal the pattern of interactions, the dependencies between entities, the impacts on the system’s environment, etc. In bacterial genomes, a gene block can be thought of as a complex system. Gene blocks are genes that are co-located on chromosomes, whose evolutionary conservation is essential and useful in phylogenetic and functional studies. Conservation of gene blocks across several species indicates that some of the gene blocks are operons, which are gene blocks that are transcribed together into an mRNA under the control of a single promoter. Previously, an event- based model was introduced to study the evolution of gene blocks in bacteria. It was proven to be practical and efficient in examining the formation of gene block. In this dissertation research, I present three studies on the evolution of gene blocks in bacteria using the event-based model.
In the first study, we introduced the formalization of the event-based model and used it to study the problem of finding orthologous gene blocks in bacteria. Unfortunately, the problem is NP-Hard, which means it is unlikely to have an efficient algorithm to solve the problem exactly. Additionally, it is hard to approximate the problem within a ratio of log2(n)/2 ≃ .72 ln n where n is the number of genes in the reference gene blocks. Fortunately, it is possible to approximate it within a ratio ln n using a variant of the greedy algorithm of the Set Cover problem. To evaluate the optimality of this method, we formulated the problem as an Integer Linear Program. Using a data set from my previous paper, we compared my method with the state-of-the-art method and showed that mine was more efficient and optimal.
In the second study, we explored the evolution of the homologous gene blocks under the event- based model. Using the maximum parsimony approach, we developed two heuristic algorithms to reconstruct the ancestral state of gene blocks of a group of taxa given a reference gene block. We applied these two methods to study the evolution of 55 operons in Escherichia coli and 83 operons in Bacillus subtilis. From the results, we discovered several plausible intermediate states of gene blocks which might be fully or partially functional. From the reconstruction of the ancestral states of gene block, we formed hypotheses on how the gene blocks evolved, and what external forces could have impacted on the course of the evolution.
In the third study, we extended the heuristic algorithm from the second study to trace the evolution of bacterial gibberellin biosynthetic operon. Gibberellin hormones are ubiquitous regulators of growth and developmental processes in vascular plants. Although homologous operons encode GA biosynthetic enzymes in both rhizobia and phytopathogens, there is a clear functional distinction between them. Using the reconstruction algorithm, we characterized losses, gains, and duplications of the gibberellin operon genes within alpha-proteobacteria rhizobia and revealed a complex history of horizontal gene transfer of individual genes and clusters of genes.
In conclusion, the event-based model provides a powerful tool to study the evolution of gene blocks in bacteria. Although the problems are NP-hard, heuristic approaches can provide meaningful results within a reasonable time. In the future work section, I present directions to extend our studies, as well as problems they might solve.",https://dr.lib.iastate.edu/handle/20.500.12876/YvkAV7az,Computer science,"Bacteria,Bioninformatics,Heuristics,Homology,NP Hardness,Operon",Evolution of gene blocks in bacteria using an event-based model,dissertation
Ying Cai,"Xu, Ge",2018-08-23T00:58:34.000,"<p>We present a new approach for K-anonymity protection in Location-Based Services (LBSs). Specifically, we depersonalize location information by ensuring that each location reported for LBSs is a cloaking area that contains K different footprints--- historical locations of different mobile nodes. Therefore, the exact identity and location of the service requestor remain anonymous from LBS service providers. Existing techniques, on the other hand, compute the cloaking area using current locations of K neighboring hosts of the service requestor. Because of this difference, our approach significantly reduces the cloaking area, which in turn decreases query processing and communication overhead for returning query results to the requesting host. In addition, existing techniques also require frequent location updates from all nodes, regardless of whether or not these nodes are requesting LBSs. Most importantly, our approach is the first practical solution that provides K-anonymity trajectory protection needed to ensure anonymity when the mobile host requests LBSs continuously as it moves. Our solution depersonalizes a user's trajectory (a time-series of the user's locations) based on the historical trajectories of other users.</p>",https://dr.lib.iastate.edu/handle/20.500.12876/68452,Computer Sciences,Computer science,Exploring historical location data for anonymity preservation in location-based services,thesis
"Rajan, Hridesh,Zhang, Wensheng,Li, Yang","Singh, Astha",N/A,"Trained (deployed) deep learning models, like traditional deployed software, have four properties: they are large, they change in response to changes in design decisions, their changes can be expensive, and multiple architectural styles exist to organize them. Developers follow a sequence of steps to create deep learning models, which includes data collection, model
architecture design, and training using available data. Once these trained models meet the desired criteria, such as satisfactory testing accuracy, they are deployed into the production environment. Just like software, this deployment marks the beginning of an ongoing maintenance and evolution process. To align with evolving production conditions and changing user needs, continuous adjustments and updates to these models are necessary. This work makes three contributions to aid the understanding of evolution and maintenance for deployed models. First, through a study of 696 top-starred GitHub repositories, we present a taxonomy of changes in deployed models. Second, we validate these changes through a user study. Our findings reveal that over 60\% of users opt for retraining models when encountering changes, which is detrimental to sustainability! Finally, we analyze the capability of existing model decomposition styles, from machine learning (ML)
and software engineering (SE) literature, w.r.t. their ability to cope with these changes. For SE and ML researchers, our results will motivate research on evolution and maintenance of deployed DL models. For practitioners, we anticipate that our results can help select appropriate decomposition styles for deployed models based on anticipated changes in their project.",https://dr.lib.iastate.edu/handle/20.500.12876/4vGX63Nr,Computer science,"Artificial Intelligence,Deep Learning,Software Engineering",Exploring post-deployment deep learning model changes and the impact of modularity,thesis
N/A,"Chen, Tongjie",2020-11-06T02:21:43.000,"<p>MultiJava is an extension of the Java Programming Language with open classes and symmetric multiple dispatch. This thesis extends MultiJava by adding support for parametric polymorphism, which allows the definition and implementation of generic abstractions. Multiple dispatch has limited interaction with generics due to the semantics of generics chosen for Java. The interesting problem is how to mix MultiJava's open classes feature with the new generic feature. This thesis explains extensions to MultiJava's Semantics and describes the implementation of generics as an extension to the MJC compiler.</p>",https://dr.lib.iastate.edu/handle/20.500.12876/97746,,Computer science,Extending MultiJava with generics,thesis
"Vasant Honavar,Stephen Gilbert","Kodavali, Sateesh Kumar",2018-08-11T07:21:19.000,"<p>An Intelligent Tutoring System (ITS) is an artificially intelligent educational software application that teaches a user skills by giving personalized feedback as the user completes tasks within a problem domain. Despite their popularity, authoring these systems is a labor-intensive process, requiring many different skill sets. A major component of an ITS is the cognitive model. Historically its implementation has required not only cognitive science knowledge, but also programming knowledge as well. To address this challenge, the Extensible Problem Specific Tutor (xPST) was developed for easy authoring of ITSs for existing software and websites. This work develops an xPST authoring tool to simplify the process of xPST authoring by the end user and to help conduct research experiments. It also evaluates the xPST system in terms of the time taken by the users to author successful models. This work also extends xPST framework to enable the creation of generalized tutors in addition to problem specific tutors. To help non-technical military trainers create xPST tutors in game scenarios, this work develops a Torque xPST Driver plugin to enable xPST authoring in Torque 3D game and evaluates authoring in spatial environment scenarios like 3D games using the authoring tool. Finally, this work compares xPST and Cognitive Tutor SDK (another authoring framework) using a fraction addition study and shows that the ratio of training development time to training experience time using xPST is approximately 50% less that that of using Cognitive Tutor SDK. This thesis also shows that there is no significant difference between the “beginner programmer” and “experienced programmer” groups in terms of the time taken to author the tasks using xPST.</p>",https://dr.lib.iastate.edu/handle/20.500.12876/26055,Computer Sciences,"easy authoring,intelligent tutoring systems,ITS,xPST",Extensible Problem Specific Tutor (xPST) : Easy authoring of intelligent tutoring systems,thesis
Oliver Eulenstein,"Pappas, Nick",2018-08-11T19:00:28.000,"<p>One important computational problem is that of mining quasi bicliques from bipartite graphs. It is important because it has an almost endless number of applications and, in most real world problems, is more appropriate than the mining of bicliques. In my thesis I examine the following: the motivation for quasi bicliques, the existing literature for quasi bicliques, my implementation of a web application that allows the user to compute exact quasi biclique solutions using the biclique formulation and the exact solution algorithm provided by Chang et al.[1], and finally a polynomial heuristic algorithm for finding large quasi bicliques in the special case where we have all the biclique subgraphs of a bipartite graph available.</p>",https://dr.lib.iastate.edu/handle/20.500.12876/26935,Computer Sciences,"data mining,protein-protein interaction,quasi-biclique",Extracting large quasi-bicliques using a skeleton-based heuristic,thesis
N/A,"Maurer, Peter",2018-08-17T04:15:51.000,"<p>The programming language FCL (Functional Computing Language) is presented in some detail. FCL is a functional language which combines several features of existing applicative languages. Some of these features are generalized versions of their counterparts in other languages. A new feature which FCL presents is the modeling of data-structures as functions;A short quantitative comparison between FCL and five other languages is presented. The data for this comparison also serve as a set of examples which demonstrate the features of FCL;An algebraic algorithm for translating a restricted form of FCL to combinatoric form is presented. The pure combinatory code generated by this algorithm is suitable for generation of efficient data-flow graphs. This algorithm allows some of the benefits of demand-driven architectures to be realized in data-driven code;Finally, a theoretical foundation for the study of shared data is presented. Formal definitions for the concepts of timing, processes, and process communication are presented. These concepts are used to define a self-contained solution to the shared-data problem.</p>",https://dr.lib.iastate.edu/handle/20.500.12876/79892,Computer Sciences,Computer science,FCL: a purely functional language for data-flow programming,dissertation
"Jennifer Davidson,Hridesh Rajan","Jalan, Jaikishan",2018-08-11T17:56:23.000,"<p>Steganalysis deals with identifying the instances of medium(s) which carry a message for communication by concealing their exisitence. This research focuses on steganalysis of JPEG images, because of its ubiquitous nature and low bandwidth requirement for storage and transmission.</p>
<p>JPEG image steganalysis is generally addressed by representing an image with lower-dimensional features such as statistical properties, and then training a classifier on the feature set to differentiate between an innocent and stego image. Our approach is two fold: first, we propose a new feature reduction technique by applying Mahalanobis distance to rank the features for steganalysis. Many successful steganalysis algorithms use a large number of features relative to the size of the training set and suffer from a ""curse of dimensionality"": large number of feature values relative to training data size. We apply this technique to state-of-the-art steganalyzer proposed by Tomas Pevny (SPIE 2007) to understand the feature space complexity and effectiveness of features for steganalysis. We show that using our approach, reduced-feature steganalyzers can be obtained that perform as well as the original steganalyzer. Based on our experimental observation, we then propose a new modeling technique for steganalysis by developing a Partially Ordered Markov Model (POMM) (IEEE ICIP '93) to JPEG images and use its properties to train a Support Vector Machine. POMM generalizes the concept of local neighborhood directionality by using a partial order underlying the pixel locations. We show that the proposed steganalyzer outperforms a state-of-the-art steganalyzer by testing our approach with many different image databases, having a total of 20,000 images. Finally, we provide a software package with a Graphical User Interface that has been developed to make this research accessible to local state forensic departments.</p>",https://dr.lib.iastate.edu/handle/20.500.12876/25218,Computer Sciences,"Feature Selection,JPEG Image,Markov,Steganalysis,Steganography","Feature selection, statistical modeling and its applications to universal JPEG steganalyzer",thesis
Soumik Soumik Sarkar,"Saha, Homagni",2021-06-11T00:49:17.000,"<p>Reliable detection of human occupancy in indoor environments is critical for various energy efficiency, security and safety applications. We consider this challenge of occupancy detection using extremely low quality, privacy-preserving images from low power image sensors. We propose a combined few shot learning and clustering algorithm to address this challenge that has very low commissioning and maintenance cost. While the few shot learning concept enables us to commission our system with a few labeled examples, the clustering step serves the purpose of online adaptation to changing imaging environment over time.  Apart from validating and comparing our algorithm on benchmark datasets, we also demonstrate performance of our algorithm on streaming images collected from real homes using our novel battery free camera hardware that also leads to a new dataset for the vision community</p>",https://dr.lib.iastate.edu/handle/20.500.12876/Qr9m4aVr,,"Clustering,Few shot Learning,Occupancy detection",Few Shot Clustering For Indoor Occupancy Detection With Extremely Low Quality Images From Battery Free Cameras,thesis
"Chang, Carl  K.,Zhang, Wensheng,Wu, Huaiqing","Liu, Mingdian",N/A,"This thesis presents a novel approach to enhancing the performance of activity recognition systems in daily living scenarios by fine-tuning pretrained foundation models. Recognizing the limitations of traditional small Convolutional Neural Network (CNN) models, which typically process only video inputs and struggle with accuracy and robustness, we explore the integration of large Transformer-based models that utilize both video and audio data. Our methodology involves pretraining on extensive datasets and subsequently fine-tuning on smaller, more specialized datasets. This process allows the model to maintain its general representation capability while improving its adaptability to specific tasks like activity classification, people counting, and user recognition.

A key component of our work is the employment of a novel dataset, the UIUC YouHome Activities-of-Daily-Living (ADL) Dataset, featuring diverse activities in varied environmental contexts to ensure a bias-free analysis. This dataset challenges conventional object detection methodologies with its unique light conditions, occlusions, and human-object interactions.

We demonstrate that our approach not only surpasses conventional methods in classification accuracy but also exhibits robustness to out-of-distribution data, a crucial aspect for real-world applications. Additionally, our method significantly reduces the computational and time cost of the training process, leveraging the pretrained foundation model's capabilities. However, we acknowledge certain limitations, such as the potential dataset bias in some activities and the sizeable nature of the pretrained models, which might restrict their deployment in smaller devices. Future work will focus on addressing these limitations and further validating the model's robustness with additional datasets, including those with audio input.

In conclusion, this thesis contributes to the field of activity recognition in daily living environments by offering a scalable and efficient solution that leverages the strengths of foundation models, setting a new standard for future research and potential applications in this domain.",https://dr.lib.iastate.edu/handle/20.500.12876/dvmqQBXv,"Computer science,Statistics","Activity Recognition,Fine-tuning,Foundation Models,Model Robustness",Fine-tuning foundation models for activity of daily living analysis,thesis
N/A,"Bachan, Mallika",2020-11-13T21:06:07.000,"<p>Finite-state dimension is a computational version of classical Hausdorff (fractal) dimension that was recently developed by Dai, Lathrop, Lutz and Mayordomo. The finite-state dimension of an infinite binary sequence S is a real number dim[Subscriot FS](S) in [0,1] that characterizes the ""information density"" of S with respect to finite-state machines. It has been shown that the finite-state dimension of a sequence is the infimum of all compression ratios achievable by using finite-state lossless compressors on that sequence. In this thesis, we calculate the finite-state dimension of two specific binary sequences that have been extensively investigated, namely, the Thue-Morse sequence and the Kolakoski sequence. Along the way, we give an expository review of finite-state dimension and these two sequences.</p>",https://dr.lib.iastate.edu/handle/20.500.12876/97821,,Computer science,Finite-state dimension of the Kolakoski sequence,thesis
